nume_actiune,timestamp
adaugareProdus,2024-05-24 17:03:17.9387644
adaugareProdus,2024-05-24 17:05:21.1537035
adaugareProdus,2024-05-24 17:05:21.1766964
adaugareProdus,2024-05-24 17:05:21.1787058
adaugareProdus,2024-05-24 17:05:21.1806972
adaugareProdus,2024-05-24 17:05:21.1806972
adaugareProdus,2024-05-24 17:06:15.8781632
adaugareProdus,2024-05-24 17:06:15.89217
adaugareProdus,2024-05-24 17:06:15.8931646
adaugareProdus,2024-05-24 17:06:15.8931646
adaugareProdus,2024-05-24 17:06:15.8941703
adaugareProdus,2024-05-24 17:06:33.3409999
adaugareProdus,2024-05-24 17:06:33.3530037
adaugareProdus,2024-05-24 17:06:33.3540019
adaugareProdus,2024-05-24 17:06:33.3540019
adaugareProdus,2024-05-24 17:06:33.3550011
adaugareProdus,2024-05-24 17:09:16.9675908
adaugareProdus,2024-05-24 17:09:16.9885884
adaugareProdus,2024-05-24 17:09:16.9895908
adaugareProdus,2024-05-24 17:09:16.9905872
adaugareProdus,2024-05-24 17:09:16.9925893
stergereProdus,2024-05-24 17:09:16.9985929
sortareProduse,2024-05-24 17:09:17.0015938
afisareProduse,2024-05-24 17:09:17.0025948
numarareProduse,2024-05-24 17:09:17.003592
cautareProdusNume,2024-05-24 17:09:17.0046001
cautareProdusNume,2024-05-24 17:09:17.0046001
adaugareProdus,2024-05-24 17:10:13.5223239
adaugareProdus,2024-05-24 17:10:13.5363161
adaugareProdus,2024-05-24 17:10:13.5363161
adaugareProdus,2024-05-24 17:10:13.537318
adaugareProdus,2024-05-24 17:10:13.5383199
stergereProdus,2024-05-24 17:10:13.5433168
sortareProduse,2024-05-24 17:10:13.5443174
afisareProduse,2024-05-24 17:10:13.5453178
numarareProduse,2024-05-24 17:10:13.546318
cautareProdusNume,2024-05-24 17:10:13.546318
cautareProdusNume,2024-05-24 17:10:13.5473186
adaugareProdus,2024-05-24 17:11:37.0262077
adaugareProdus,2024-05-24 17:11:37.0372022
adaugareProdus,2024-05-24 17:11:37.038205
adaugareProdus,2024-05-24 17:11:37.0392088
adaugareProdus,2024-05-24 17:11:37.0392088
stergereProdus,2024-05-24 17:11:37.0442023
sortareProduse,2024-05-24 17:11:37.0462054
afisareProduse,2024-05-24 17:11:37.0462054
numarareProduse,2024-05-24 17:11:37.0472029
cautareProdusCategorie,2024-05-24 17:11:37.0482065
cautareProdusNume,2024-05-24 17:11:37.0482065
adaugareProdus,2024-05-24 18:40:03.5564089
adaugareProdus,2024-05-24 18:40:03.5764131
adaugareProdus,2024-05-24 18:40:03.5774192
adaugareProdus,2024-05-24 18:40:03.5784183
adaugareProdus,2024-05-24 18:40:03.5784183
stergereProdus,2024-05-24 18:40:03.586412
sortareProduse,2024-05-24 18:40:03.5874131
afisareProduse,2024-05-24 18:40:03.5884137
numarareProduse,2024-05-24 18:40:03.5894113
cautareProdusCategorie,2024-05-24 18:40:03.5904108
cautareProdusNume,2024-05-24 18:40:03.5914146
adaugareProdus,2024-05-24 18:42:15.0447688
adaugareProdus,2024-05-24 18:42:15.0587682
adaugareProdus,2024-05-24 18:42:15.0597759
adaugareProdus,2024-05-24 18:42:15.0607661
adaugareProdus,2024-05-24 18:42:15.0607661
stergereProdus,2024-05-24 18:42:15.0677683
sortareProduse,2024-05-24 18:42:15.0687682
afisareProduse,2024-05-24 18:42:15.0697694
numarareProduse,2024-05-24 18:42:15.0707688
cautareProdusCategorie,2024-05-24 18:42:15.0717683
cautareProdusNume,2024-05-24 18:42:15.0727673
adaugareProdus,2024-05-24 18:43:38.3368975
adaugareProdus,2024-05-24 18:43:38.3488999
adaugareProdus,2024-05-24 18:43:38.3488999
adaugareProdus,2024-05-24 18:43:38.3498942
adaugareProdus,2024-05-24 18:43:38.3498942
stergereProdus,2024-05-24 18:43:38.3558954
sortareProduse,2024-05-24 18:43:38.3578965
afisareProduse,2024-05-24 18:43:38.3588935
numarareProduse,2024-05-24 18:43:38.3588935
cautareProdusCategorie,2024-05-24 18:43:38.3598936
cautareProdusNume,2024-05-24 18:43:38.3608945
adaugareProdus,2024-05-24 18:44:13.030898
adaugareProdus,2024-05-24 18:44:13.0428963
adaugareProdus,2024-05-24 18:44:13.0438959
adaugareProdus,2024-05-24 18:44:13.0438959
adaugareProdus,2024-05-24 18:44:13.044904
stergereProdus,2024-05-24 18:44:13.051893
sortareProduse,2024-05-24 18:44:13.0528952
afisareProduse,2024-05-24 18:44:13.0538942
numarareProduse,2024-05-24 18:44:13.0548986
cautareProdusCategorie,2024-05-24 18:44:13.0558988
cautareProdusNume,2024-05-24 18:44:13.0568944
adaugareProdus,2024-05-24 18:44:53.3240987
adaugareProdus,2024-05-24 18:44:53.3360971
adaugareProdus,2024-05-24 18:44:53.3371016
adaugareProdus,2024-05-24 18:44:53.3371016
adaugareProdus,2024-05-24 18:44:53.3381038
stergereProdus,2024-05-24 18:44:53.3440989
sortareProduse,2024-05-24 18:44:53.3461
afisareProduse,2024-05-24 18:44:53.3470984
numarareProduse,2024-05-24 18:44:53.3470984
cautareProdusCategorie,2024-05-24 18:44:53.3481054
cautareProdusNume,2024-05-24 18:44:53.3491005
adaugareProdus,2024-05-24 18:47:03.7938358
adaugareProdus,2024-05-24 18:47:03.8048372
adaugareProdus,2024-05-24 18:47:03.8048372
adaugareProdus,2024-05-24 18:47:03.8058392
adaugareProdus,2024-05-24 18:47:03.8058392
stergereProdus,2024-05-24 18:47:03.8118358
sortareProduse,2024-05-24 18:47:03.8128376
afisareProduse,2024-05-24 18:47:03.8138395
numarareProduse,2024-05-24 18:47:03.8148393
cautareProdusCategorie,2024-05-24 18:47:03.8148393
cautareProdusNume,2024-05-24 18:47:03.8158408
adaugareProdus,2024-05-24 18:49:55.3970569
adaugareProdus,2024-05-24 18:49:55.4120582
adaugareProdus,2024-05-24 18:49:55.4120582
adaugareProdus,2024-05-24 18:49:55.4130545
adaugareProdus,2024-05-24 18:49:55.4140589
stergereProdus,2024-05-24 18:49:55.4210536
sortareProduse,2024-05-24 18:49:55.4220551
afisareProduse,2024-05-24 18:49:55.4230572
numarareProduse,2024-05-24 18:49:55.4230572
cautareProdusCategorie,2024-05-24 18:49:55.4240542
cautareProdusNume,2024-05-24 18:49:55.4250542
adaugareProdus,2024-05-24 18:50:07.1191077
adaugareProdus,2024-05-24 18:50:07.1321085
